ip		px:		py:		pz:
610		9.73533		15.5074		2.80883
611		10.8897		15.5074		2.80883
612		12.0442		15.5074		2.80883
613		13.1986		15.5074		2.80883
614		14.353		15.5074		2.80883
615		15.5074		15.5074		2.80883
616		0.5		16.6618		2.80883
617		1.65442		16.6618		2.80883
618		2.80883		16.6618		2.80883
619		3.96325		16.6618		2.80883
620		5.11766		16.6618		2.80883
621		6.27208		16.6618		2.80883
622		7.42649		16.6618		2.80883
623		8.58091		16.6618		2.80883
624		9.73533		16.6618		2.80883
625		10.8897		16.6618		2.80883
626		12.0442		16.6618		2.80883
627		13.1986		16.6618		2.80883
628		14.353		16.6618		2.80883
629		15.5074		16.6618		2.80883
630		0.5		0.5		3.96325
631		1.65442		0.5		3.96325
632		2.80883		0.5		3.96325
633		3.96325		0.5		3.96325
634		5.11766		0.5		3.96325
635		6.27208		0.5		3.96325
636		7.42649		0.5		3.96325
637		8.58091		0.5		3.96325
638		9.73533		0.5		3.96325
639		10.8897		0.5		3.96325
640		12.0442		0.5		3.96325
641		13.1986		0.5		3.96325
642		14.353		0.5		3.96325
643		15.5074		0.5		3.96325
644		0.5		1.65442		3.96325
645		1.65442		1.65442		3.96325
646		2.80883		1.65442		3.96325
647		3.96325		1.65442		3.96325
648		5.11766		1.65442		3.96325
649		6.27208		1.65442		3.96325
650		7.42649		1.65442		3.96325
651		8.58091		1.65442		3.96325
652		9.73533		1.65442		3.96325
653		10.8897		1.65442		3.96325
654		12.0442		1.65442		3.96325
655		13.1986		1.65442		3.96325
656		14.353		1.65442		3.96325
657		15.5074		1.65442		3.96325
658		0.5		2.80883		3.96325
659		1.65442		2.80883		3.96325
660		2.80883		2.80883		3.96325
661		3.96325		2.80883		3.96325
662		5.11766		2.80883		3.96325
663		6.27208		2.80883		3.96325
664		7.42649		2.80883		3.96325
665		8.58091		2.80883		3.96325
666		9.73533		2.80883		3.96325
667		10.8897		2.80883		3.96325
668		12.0442		2.80883		3.96325
669		13.1986		2.80883		3.96325
670		14.353		2.80883		3.96325
671		15.5074		2.80883		3.96325
672		0.5		3.96325		3.96325
673		1.65442		3.96325		3.96325
674		2.80883		3.96325		3.96325
675		3.96325		3.96325		3.96325
676		5.11766		3.96325		3.96325
677		6.27208		3.96325		3.96325
678		7.42649		3.96325		3.96325
679		8.58091		3.96325		3.96325
680		9.73533		3.96325		3.96325
681		10.8897		3.96325		3.96325
682		12.0442		3.96325		3.96325
683		13.1986		3.96325		3.96325
684		14.353		3.96325		3.96325
685		15.5074		3.96325		3.96325
686		0.5		5.11766		3.96325
687		1.65442		5.11766		3.96325
688		2.80883		5.11766		3.96325
689		3.96325		5.11766		3.96325
690		5.11766		5.11766		3.96325
691		6.27208		5.11766		3.96325
692		7.42649		5.11766		3.96325
693		8.58091		5.11766		3.96325
694		9.73533		5.11766		3.96325
695		10.8897		5.11766		3.96325
696		12.0442		5.11766		3.96325
697		13.1986		5.11766		3.96325
698		14.353		5.11766		3.96325
699		15.5074		5.11766		3.96325
700		0.5		6.27208		3.96325
701		1.65442		6.27208		3.96325
702		2.80883		6.27208		3.96325
703		3.96325		6.27208		3.96325
704		5.11766		6.27208		3.96325
705		6.27208		6.27208		3.96325
706		7.42649		6.27208		3.96325
707		8.58091		6.27208		3.96325
708		9.73533		6.27208		3.96325
709		10.8897		6.27208		3.96325
710		12.0442		6.27208		3.96325
711		13.1986		6.27208		3.96325
712		14.353		6.27208		3.96325
713		15.5074		6.27208		3.96325
714		0.5		7.42649		3.96325
715		1.65442		7.42649		3.96325
716		2.80883		7.42649		3.96325
717		3.96325		7.42649		3.96325
718		5.11766		7.42649		3.96325
719		6.27208		7.42649		3.96325
720		7.42649		7.42649		3.96325
721		8.58091		7.42649		3.96325
722		9.73533		7.42649		3.96325
723		10.8897		7.42649		3.96325
724		12.0442		7.42649		3.96325
725		13.1986		7.42649		3.96325
726		14.353		7.42649		3.96325
727		15.5074		7.42649		3.96325
728		0.5		8.58091		3.96325
729		1.65442		8.58091		3.96325
730		2.80883		8.58091		3.96325
731		3.96325		8.58091		3.96325
732		5.11766		8.58091		3.96325
733		6.27208		8.58091		3.96325
734		7.42649		8.58091		3.96325
735		8.58091		8.58091		3.96325
736		9.73533		8.58091		3.96325
737		10.8897		8.58091		3.96325
738		12.0442		8.58091		3.96325
739		13.1986		8.58091		3.96325
740		14.353		8.58091		3.96325
741		15.5074		8.58091		3.96325
742		0.5		9.73533		3.96325
743		1.65442		9.73533		3.96325
744		2.80883		9.73533		3.96325
745		3.96325		9.73533		3.96325
746		5.11766		9.73533		3.96325
747		6.27208		9.73533		3.96325
748		7.42649		9.73533		3.96325
749		8.58091		9.73533		3.96325
750		9.73533		9.73533		3.96325
751		10.8897		9.73533		3.96325
752		12.0442		9.73533		3.96325
753		13.1986		9.73533		3.96325
754		14.353		9.73533		3.96325
755		15.5074		9.73533		3.96325
756		0.5		10.8897		3.96325
757		1.65442		10.8897		3.96325
758		2.80883		10.8897		3.96325
759		3.96325		10.8897		3.96325
760		5.11766		10.8897		3.96325
761		6.27208		10.8897		3.96325
762		7.42649		10.8897		3.96325
763		8.58091		10.8897		3.96325
764		9.73533		10.8897		3.96325
765		10.8897		10.8897		3.96325
766		12.0442		10.8897		3.96325
767		13.1986		10.8897		3.96325
768		14.353		10.8897		3.96325
769		15.5074		10.8897		3.96325
770		0.5		12.0442		3.96325
771		1.65442		12.0442		3.96325
772		2.80883		12.0442		3.96325
773		3.96325		12.0442		3.96325
774		5.11766		12.0442		3.96325
775		6.27208		12.0442		3.96325
776		7.42649		12.0442		3.96325
777		8.58091		12.0442		3.96325
778		9.73533		12.0442		3.96325
779		10.8897		12.0442		3.96325
780		12.0442		12.0442		3.96325
781		13.1986		12.0442		3.96325
782		14.353		12.0442		3.96325
783		15.5074		12.0442		3.96325
784		0.5		13.1986		3.96325
785		1.65442		13.1986		3.96325
786		2.80883		13.1986		3.96325
787		3.96325		13.1986		3.96325
788		5.11766		13.1986		3.96325
789		6.27208		13.1986		3.96325
790		7.42649		13.1986		3.96325
791		8.58091		13.1986		3.96325
792		9.73533		13.1986		3.96325
793		10.8897		13.1986		3.96325
794		12.0442		13.1986		3.96325
795		13.1986		13.1986		3.96325
796		14.353		13.1986		3.96325
797		15.5074		13.1986		3.96325
798		0.5		14.353		3.96325
799		1.65442		14.353		3.96325
800		2.80883		14.353		3.96325
801		3.96325		14.353		3.96325
802		5.11766		14.353		3.96325
803		6.27208		14.353		3.96325
804		7.42649		14.353		3.96325
805		8.58091		14.353		3.96325
806		9.73533		14.353		3.96325
807		10.8897		14.353		3.96325
808		12.0442		14.353		3.96325
809		13.1986		14.353		3.96325
810		14.353		14.353		3.96325
811		15.5074		14.353		3.96325
812		0.5		15.5074		3.96325
813		1.65442		15.5074		3.96325
814		2.80883		15.5074		3.96325
815		3.96325		15.5074		3.96325
816		5.11766		15.5074		3.96325
817		6.27208		15.5074		3.96325
818		7.42649		15.5074		3.96325
819		8.58091		15.5074		3.96325
820		9.73533		15.5074		3.96325
821		10.8897		15.5074		3.96325
822		12.0442		15.5074		3.96325
823		13.1986		15.5074		3.96325
824		14.353		15.5074		3.96325
825		15.5074		15.5074		3.96325
826		0.5		16.6618		3.96325
827		1.65442		16.6618		3.96325
828		2.80883		16.6618		3.96325
829		3.96325		16.6618		3.96325
830		5.11766		16.6618		3.96325
831		6.27208		16.6618		3.96325
832		7.42649		16.6618		3.96325
833		8.58091		16.6618		3.96325
834		9.73533		16.6618		3.96325
835		10.8897		16.6618		3.96325
836		12.0442		16.6618		3.96325
837		13.1986		16.6618		3.96325
